Date,Time,DateTime,N/U,Count,y,bad1,bad2,bad3,bad4
11/1/2018,08:07:54,11/1/2018 08:07:54,460,687,554,,,,
11/1/2018,08:07:54,11/1/2018 08:07:54,460,698,554,,,,
11/1/2018,08:07:55,11/1/2018 08:07:55,460,695,554,,,,
11/1/2018,08:07:55,11/1/2018 08:07:55,460,696,554,,,,
11/1/2018,08:07:56,11/1/2018 08:07:56,460,689,554,,,,
11/1/2018,08:07:57,11/1/2018 08:07:57,460,690,554,,,,
11/1/2018,08:07:57,11/1/2018 08:07:57,460,697,554,,,,
11/1/2018,08:17:58,11/1/2018 08:17:58,460,689,555,,,,
11/1/2018,08:17:58,11/1/2018 08:17:58,460,689,555,,,,
11/1/2018,08:17:59,11/1/2018 08:17:59,460,689,555,,,,
11/1/2018,08:17:59,11/1/2018 08:17:59,460,688,555,,,,
11/1/2018,08:18:00,11/1/2018 08:18:00,460,688,555,,,,
11/1/2018,08:18:00,11/1/2018 08:18:00,460,689,555,,,,
11/1/2018,08:18:01,11/1/2018 08:18:01,460,689,555,,,,
11/1/2018,08:18:01,11/1/2018 08:18:01,460,688,554,,,,
11/1/2018,08:18:02,11/1/2018 08:18:02,460,694,554,,,,
11/1/2018,08:18:02,11/1/2018 08:18:02,460,688,554,,,,
11/1/2018,08:18:03,11/1/2018 08:18:03,460,691,554,,,,
11/1/2018,08:18:03,11/1/2018 08:18:03,460,688,554,,,,
11/1/2018,08:18:04,11/1/2018 08:18:04,460,691,554,,,,
11/1/2018,08:18:05,11/1/2018 08:18:05,460,685,554,,,,
11/1/2018,08:18:05,11/1/2018 08:18:05,460,700,554,,,,
11/1/2018,08:28:06,11/1/2018 08:28:06,460,662,555,,,,
11/1/2018,08:28:06,11/1/2018 08:28:06,460,655,555,,,,
11/1/2018,08:28:07,11/1/2018 08:28:07,460,663,555,,,,
11/1/2018,08:28:07,11/1/2018 08:28:07,460,657,555,,,,
11/1/2018,08:28:08,11/1/2018 08:28:08,460,665,555,,,,
11/1/2018,08:28:08,11/1/2018 08:28:08,460,658,555,,,,
11/1/2018,08:28:09,11/1/2018 08:28:09,460,662,554,,,,
11/1/2018,08:28:09,11/1/2018 08:28:09,460,653,554,,,,
11/1/2018,08:28:10,11/1/2018 08:28:10,460,667,554,,,,
11/1/2018,08:28:10,11/1/2018 08:28:10,460,661,554,,,,
11/1/2018,08:28:11,11/1/2018 08:28:11,460,660,554,,,,
11/1/2018,08:28:11,11/1/2018 08:28:11,460,657,554,,,,
11/1/2018,08:28:12,11/1/2018 08:28:12,460,667,554,,,,
11/1/2018,08:28:13,11/1/2018 08:28:13,460,661,554,,,,
11/1/2018,08:28:13,11/1/2018 08:28:13,460,662,554,,,,
11/1/2018,08:38:14,11/1/2018 08:38:14,460,679,555,,,,
11/1/2018,08:38:14,11/1/2018 08:38:14,460,679,555,,,,
11/1/2018,08:38:15,11/1/2018 08:38:15,460,676,555,,,,
11/1/2018,08:38:15,11/1/2018 08:38:15,460,681,554,,,,
11/1/2018,08:38:16,11/1/2018 08:38:16,460,685,554,,,,
11/1/2018,08:38:16,11/1/2018 08:38:16,460,681,554,,,,
11/1/2018,08:38:17,11/1/2018 08:38:17,460,681,554,,,,
11/1/2018,08:38:17,11/1/2018 08:38:17,460,676,554,,,,
11/1/2018,08:38:18,11/1/2018 08:38:18,460,683,554,,,,
11/1/2018,08:38:18,11/1/2018 08:38:18,460,685,554,,,,
11/1/2018,08:38:19,11/1/2018 08:38:19,460,675,554,,,,
11/1/2018,08:38:19,11/1/2018 08:38:19,460,682,554,,,,
11/1/2018,08:38:20,11/1/2018 08:38:20,460,684,554,,,,
11/1/2018,08:38:21,11/1/2018 08:38:21,460,680,553,,,,
11/1/2018,08:38:21,11/1/2018 08:38:21,460,685,554,,,,
11/1/2018,08:48:22,11/1/2018 08:48:22,460,687,555,,,,
11/1/2018,08:48:22,11/1/2018 08:48:22,460,686,555,,,,
11/1/2018,08:48:23,11/1/2018 08:48:23,460,688,555,,,,
11/1/2018,08:48:23,11/1/2018 08:48:23,460,689,555,,,,
11/1/2018,08:48:24,11/1/2018 08:48:24,460,657,554,,,,
11/1/2018,08:48:24,11/1/2018 08:48:24,460,681,554,,,,
11/1/2018,08:48:25,11/1/2018 08:48:25,460,678,554,,,,
11/1/2018,08:48:25,11/1/2018 08:48:25,460,681,554,,,,
11/1/2018,08:48:26,11/1/2018 08:48:26,460,682,554,,,,
11/1/2018,08:48:26,11/1/2018 08:48:26,460,693,554,,,,
11/1/2018,08:48:27,11/1/2018 08:48:27,460,686,554,,,,
11/1/2018,08:48:27,11/1/2018 08:48:27,460,682,554,,,,
11/1/2018,08:48:28,11/1/2018 08:48:28,460,692,554,,,,
11/1/2018,08:48:29,11/1/2018 08:48:29,460,684,554,,,,
11/1/2018,08:48:29,11/1/2018 08:48:29,460,684,554,,,,
11/1/2018,08:58:30,11/1/2018 08:58:30,460,684,555,,,,
11/1/2018,08:58:30,11/1/2018 08:58:30,460,684,555,,,,
11/1/2018,08:58:31,11/1/2018 08:58:31,460,684,555,,,,
11/1/2018,08:58:31,11/1/2018 08:58:31,460,686,555,,,,
11/1/2018,08:58:32,11/1/2018 08:58:32,460,691,554,,,,
11/1/2018,08:58:32,11/1/2018 08:58:32,460,687,554,,,,
